T,G,G(FCC),H,H(FCC),S,S(FCC),NP(FCC),"X(FCC,CO)","X(FCC,CR)","X(FCC,CU)","X(FCC,TI)","Y(FCC,CO#2)","Y(FCC,CO)","Y(FCC,CR#2)","Y(FCC,CR)","Y(FCC,CU#2)","Y(FCC,CU)","Y(FCC,TI#2)","Y(FCC,TI)"
73,5334.389648,5334.390137,6222.075684,6222.075684,12.16007614,12.16007614,1,0.039999999,0.159999996,0.400000006,0.400000006,1.34163E-09,0.159999996,0.213333324,4.76312E-28,0.25333333,0.839999974,0.533333302,6.9692E-23
83,5212.76416,5212.76416,6222.067383,6222.067383,12.16027737,12.16027737,1,0.039999999,0.159999996,0.400000006,0.400000006,1.06821E-08,0.159999967,0.213333324,8.56316E-25,0.25333333,0.840000033,0.533333302,3.44425E-20
93,5091.253906,5091.253906,6220.213379,6220.213379,12.13934898,12.13934898,1,0.039999999,0.159999996,0.400000006,0.400000006,5.48103E-08,0.159999847,0.213333324,3.07998E-22,0.253333271,0.840000153,0.533333302,4.49536E-18
103,4970.01416,4970.01416,6217.066895,6217.066895,12.10730839,12.10730839,1,0.039999999,0.159999996,0.400000006,0.400000006,2.05808E-07,0.159999385,0.213333324,3.54122E-20,0.253333122,0.840000629,0.533333302,2.28259E-16
113,4849.126465,4849.126465,6212.986816,6212.986816,12.06956101,12.06956101,1,0.039999999,0.159999996,0.400000006,0.400000006,6.14063E-07,0.159998164,0.213333324,1.76136E-18,0.253332734,0.840001822,0.533333302,5.79169E-15
123,4728.631348,4728.631348,6208.217285,6208.217285,12.02915287,12.02915287,1,0.039999999,0.159999996,0.400000006,0.400000006,1.53919E-06,0.159995377,0.213333324,4.64819E-17,0.25333178,0.840004623,0.533333302,8.69542E-14
133,4608.546387,4608.546387,6202.930664,6202.930664,11.987854,11.987854,1,0.039999999,0.159999996,0.400000006,0.400000006,3.36993E-06,0.159989893,0.213333324,7.50665E-16,0.253329962,0.840010107,0.533333302,8.6943E-13
143,4488.874023,4488.874023,6197.253906,6197.253906,11.94671345,11.9467144,1,0.039999999,0.159999996,0.400000006,0.400000006,6.62834E-06,0.159980103,0.213333324,8.22235E-15,0.253326714,0.840019882,0.533333302,6.30442E-12
153,4369.609375,4369.609375,6191.282715,6191.282715,11.90636158,11.90636063,1,0.039999999,0.159999996,0.400000006,0.400000006,1.19579E-05,0.159964129,0.213333324,6.59074E-14,0.253321379,0.840035856,0.533333302,3.53081E-11
163,4250.742676,4250.742676,6185.091797,6185.091797,11.86717224,11.86717224,1,0.039999999,0.159999996,0.400000006,0.400000006,2.0099E-05,0.159939706,0.213333324,4.09426E-13,0.253313243,0.840060294,0.533333302,1.60168E-10
